id,thumbnails,title,long_desc,channel,duration,views,publish_time,url_suffix
5Eqb_-j3FDA,"['https://i.ytimg.com/vi/5Eqb_-j3FDA/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBLNXdsYvvsxOX_TOfwL0K8j90yCg', 'https://i.ytimg.com/vi/5Eqb_-j3FDA/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLByoT-glEzYllYhH6FHPbB8CZGY2g']",Coke Studio | Season 14 | Pasoori | Ali Sethi x Shae Gill,,Coke Studio Pakistan,4:37,"893,473,938 views",3 years ago,/watch?v=5Eqb_-j3FDA&list=RD5Eqb_-j3FDA&start_radio=1&pp=ygULQ29rZSBTdHVkaW-gBwE%3D
-2RAq5o5pwc,"['https://i.ytimg.com/vi/-2RAq5o5pwc/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCX7Xc7p66cGN4kMYy-DH4TrPX3Uw', 'https://i.ytimg.com/vi/-2RAq5o5pwc/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCngt62BhaxZpC4qq776x5u-NDBfA']",Jhol | Coke Studio Pakistan | Season 15 | Maanu x Annural Khalid,,Coke Studio Pakistan,4:39,"370,843,239 views",1 year ago,/watch?v=-2RAq5o5pwc&list=RD-2RAq5o5pwc&start_radio=1&pp=ygULQ29rZSBTdHVkaW-gBwE%3D
sqJ2QhjBQaw,"['https://i.ytimg.com/vi/sqJ2QhjBQaw/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDG1OjBJ2UY7Kr_8xHQKBIqQxfqsQ', 'https://i.ytimg.com/vi/sqJ2QhjBQaw/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBurzoAtDCg4gdQKAF2Q0XZUMus8w']",Long Distance Love | Coke Studio Bangla | Season 3 | Ankan X Afrin | Shuvendu,,Coke Studio Bangla,4:46,"11,303,591 views",2 weeks ago,/watch?v=sqJ2QhjBQaw&list=RDsqJ2QhjBQaw&start_radio=1&pp=ygULQ29rZSBTdHVkaW-gBwE%3D
kw4tT7SCmaY,"['https://i.ytimg.com/vi/kw4tT7SCmaY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDpqUEywhXVPOP8RuC5O3vzqDAUmA', 'https://i.ytimg.com/vi/kw4tT7SCmaY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBaRYZofTsZQW2Ob8Fbri5Hb8-Faw']",Coke Studio Season 9| Afreen Afreen| Rahat Fateh Ali Khan & Momina Mustehsan,,Coke Studio Pakistan,6:45,"607,399,821 views",9 years ago,/watch?v=kw4tT7SCmaY&list=RDkw4tT7SCmaY&start_radio=1&pp=ygULQ29rZSBTdHVkaW-gBwE%3D
7D4vNcK6D38,"['https://i.ytimg.com/vi/7D4vNcK6D38/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBRutYCivOwUOoTWDpN8j6v7XnHYQ', 'https://i.ytimg.com/vi/7D4vNcK6D38/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLA7b8L9koXq3FjoetlpIbaX8cfNuw']",Coke Studio | Season 14 | Tu Jhoom | Naseebo Lal x Abida Parveen,,Coke Studio Pakistan,6:41,"113,127,170 views",3 years ago,/watch?v=7D4vNcK6D38&list=RD7D4vNcK6D38&start_radio=1&pp=ygULQ29rZSBTdHVkaW-gBwE%3D
zQDAi8tI-cU,"['https://i.ytimg.com/vi/zQDAi8tI-cU/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCUwnYQiAFMkgz3sBBFRRfhEZYEDA', 'https://i.ytimg.com/vi/zQDAi8tI-cU/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBvaR9hpmDsNycYH-GMcLR3NO2M_g']",Coke Studio | Season 14 | Kana Yaari | Kaifi Khalil x Eva B x Abdul Wahab Bugti,,Coke Studio Pakistan,4:00,"112,900,735 views",3 years ago,/watch?v=zQDAi8tI-cU&list=RDzQDAi8tI-cU&start_radio=1&pp=ygULQ29rZSBTdHVkaW-gBwE%3D
-urTPhh7gNk,"['https://i.ytimg.com/vi/-urTPhh7gNk/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAK6OJWnWE3dqMLZ5HY41Ky1euwZA', 'https://i.ytimg.com/vi/-urTPhh7gNk/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAc1kzVchBfQG9JCOgn7Usnq_qoAw']",Blockbuster | Coke Studio Pakistan | Season 15 | Faris Shafi x Umair Butt x Gharwi Group,,Coke Studio Pakistan,4:47,"70,165,959 views",1 year ago,/watch?v=-urTPhh7gNk&list=RD-urTPhh7gNk&start_radio=1&pp=ygULQ29rZSBTdHVkaW-gBwE%3D
t7wSjy9Lv-o,"['https://i.ytimg.com/vi/t7wSjy9Lv-o/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBi8nMHJVhfbw32r2U3rMdrYrPdPw', 'https://i.ytimg.com/vi/t7wSjy9Lv-o/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDh5iaYRSBVXhpUhnXS2dDYfeMMQA']",Coke Studio Bharat | Khalasi | Aditya Gadhvi x Achint,,Coke Studio India ,4:25,"171,304,525 views",2 years ago,/watch?v=t7wSjy9Lv-o&list=RDt7wSjy9Lv-o&start_radio=1&pp=ygULQ29rZSBTdHVkaW-gBwE%3D
8367ETnagHo,"['https://i.ytimg.com/vi/8367ETnagHo/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCDivdje9rKezsknHvbNcwDjUus-w', 'https://i.ytimg.com/vi/8367ETnagHo/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCtLOTJCwiv4jPDURZ5Eq6_Sb7jYA']",Coke Studio Season 9| Tera Woh Pyar| Momina Mustehsan & Asim Azhar,,Coke Studio Pakistan,7:12,"211,161,985 views",9 years ago,/watch?v=8367ETnagHo&list=RD8367ETnagHo&start_radio=1&pp=ygULQ29rZSBTdHVkaW-gBwE%3D
bP8ATWCvqzw,"['https://i.ytimg.com/vi/bP8ATWCvqzw/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDif4X12cn1koQsvXnuwxmvSvfr2Q', 'https://i.ytimg.com/vi/bP8ATWCvqzw/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCu5eqTQTXX4BJCH-neOjanDLr-9Q']",Anuv Jain X Lost Stories - Arz Kiya Hai (Official Video) | Coke Studio Bharat,,Coke Studio India ,5:06,"18,524,046 views",1 month ago,/watch?v=bP8ATWCvqzw&list=RDbP8ATWCvqzw&start_radio=1&pp=ygULQ29rZSBTdHVkaW-gBwE%3D
